Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CAP-TH_BD16.0-P7.50-D0.8-FD,2,LKMI2001K681MF_C42404588,C507603
"C10, C11, C12, C13, C14, C15, C18, C19, C20, C21, C22, C23, C6",0603,13,100nf 50v,C14663
C16,1206,1,10uf 50v,C13585
C17,1206,1,22uf 25v,C12891
"C3, C5, C7, C9",0603,4,1uf 50v,C15849
"C4, C8",0805,2,100nf 100v,C28233
"CN1, CN2, CN3, CN4, CN5, CN6, CN7",CONN-TH_P5.00_KF243-5.0-2P,7,KF243-5.0-2P,C475222
CN9,CONN-TH_4P-P5.00_KF243-5.0-4P,1,KF243-5.0-4P,C475224
"D1, D14",D_SMA,2,SS14,C2480
"D10, D2, D3, D4, D5",0805,5,green,C2297
D11,D_SMA,1,SS26,C14238
D12,D_SOD-123,1,BZT52C15 zener,C2104
D13,D_SMC,1,SMCJ51A,C438115
D15,0805,1,yellow power ON,C2296
"D6, D7, D8, D9",0805,4,red,C84256
"J1, J3",PinSocket_1x22_P2.54mm_Vertical,2,Female Header 1x22,C7499337
Q1,TO-263-2,1,SQM120P10-10m1L,C3281565
"R1, R10, R2, R21, R22, R23",0603,6,10k,C25804
R11,0603,1,100r,C22775
"R12, R13, R15, R16",1206,4,4.7k,C17936
R14,0603,1,1k,C21190
"R17, R18, R19, R20",2512,4,40m,C459685
"R3, R4, R5, R6",0603,4,5.1k,C23186
R7,0805,1,33k,C17633
R8,0805,1,100k,C25611
R9,0603,1,470r,C23179
RN1,R_Array_Convex_4x0603,1,470r,C354986
RN2,R_Array_Convex_4x0603,1,10k,C107374
"U1, U2",HTSSOP44-DDW_TEX,2,DRV8262DDWR,C22427252
"U10, U11, U6, U7",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,4,INA240A2DR,C2060768
U12,SOIC-14_3.9x8.7mm_P1.27mm,1,LM339,C7948
"U13, U14, U15, U16",TSOP-6_L3.0-W1.5-P0.95-LS2.8-BR,4,"74LVC1G157GV,125",C503437
U4,MSOP-10_3x3mm_P0.5mm,1,MCP4728,C478093
U5,SMDIP-8_W9.53mm,1,6N137,C16496
U8,PWRM-TH_YLPTEC_K78XX-1000R3,1,K7805-1000R3_C2992391,C2992391
U9,SOP-16_L10.3-W4.4-P1.27-LS7.0-BL,1,TLP291-4(V4GBTPE),C2848503
