Designator,Mid X,Mid Y,Rotation,Layer
C1,149.0,-49.8,90.0,top
C10,156.21,-101.1237,270.0,top
C11,201.422,-53.848,180.0,top
C12,168.148,-55.88,90.0,top
C13,164.338,-82.244,90.0,top
C14,165.932,-122.482,180.0,top
C15,165.932,-116.976,180.0,top
C16,214.884,-115.316,180.0,top
C17,209.55,-115.316,0.0,top
C18,137.423,-56.9222,90.0,top
C19,137.7405,-76.9247,90.0,top
C2,154.0,-111.9187,0.0,top
C20,138.058,-84.0872,90.0,top
C21,137.795,-104.6162,90.0,top
C22,165.932,-111.004,180.0,top
C23,165.932,-104.773,180.0,top
C3,145.4147,-59.2085,0.0,top
C4,153.67,-58.7375,0.0,top
C5,154.5525,-74.4503,270.0,top
C6,156.21,-74.4537,270.0,top
C7,144.6213,-85.4075,0.0,top
C8,153.3525,-85.4075,0.0,top
C9,154.6225,-101.1237,270.0,top
CN1,120.055,-118.4675,270.0,top
CN2,119.6972,-60.0022,270.0,top
CN3,119.6972,-73.0197,270.0,top
CN4,119.7366,-86.3147,270.0,top
CN5,119.8163,-99.8297,270.0,top
CN6,213.732,-124.0,90.0,top
CN7,213.8433,-65.2862,90.0,top
CN9,213.6845,-86.4799,90.0,top
D1,219.732,-53.0,180.0,top
D10,204.4383,-64.135,270.0,top
D11,203.962,-109.982,270.0,top
D12,149.5,-124.5,270.0,top
D13,157.0,-124.0,0.0,top
D14,196.342,-108.1662,0.0,top
D15,185.9145,-125.8125,0.0,top
D2,204.7545,-94.2562,90.0,top
D3,204.9132,-89.1762,90.0,top
D4,204.7545,-84.255,90.0,top
D5,204.7545,-79.0162,90.0,top
D6,110.8075,-60.5897,270.0,top
D7,110.8075,-73.6072,270.0,top
D8,110.8075,-86.9022,270.0,top
D9,110.8075,-100.4172,270.0,top
J1,173.482,-68.326,0.0,top
J3,196.342,-68.326,0.0,top
Q1,135.0,-118.5,180.0,top
R1,155.2575,-61.4362,0.0,top
R10,174.822,-123.498,0.0,top
R11,213.3833,-43.015,0.0,top
R12,220.8961,-100.4737,270.0,top
R13,215.8691,-100.4737,270.0,top
R14,201.422,-48.768,0.0,top
R15,210.842,-100.4737,270.0,top
R16,206.3099,-100.4737,270.0,top
R17,132.8193,-62.0022,0.0,top
R18,132.8193,-72.4797,0.0,top
R19,132.8193,-89.9422,0.0,top
R2,155.956,-70.9612,0.0,top
R20,132.8193,-99.8485,0.0,top
R21,174.822,-118.246,0.0,top
R22,174.822,-112.02,0.0,top
R23,174.822,-105.772,0.0,top
R3,155.13,-69.3737,0.0,top
R4,155.13,-67.7862,0.0,top
R5,155.4163,-96.52,0.0,top
R6,155.4163,-94.9325,0.0,top
R7,146.5,-125.0875,90.0,top
R8,141.5,-125.5,0.0,top
R9,192.0245,-125.8887,0.0,top
RN1,148.4838,-80.8925,90.0,top
RN2,185.998,-117.718,0.0,top
U1,148.7485,-67.146,0.0,top
U10,132.8193,-84.391,180.0,top
U11,132.8193,-105.1716,180.0,top
U12,165.608,-76.2,0.0,top
U13,170.25,-122.494,0.0,top
U14,170.25,-117.16,0.0,top
U15,170.25,-111.106,0.0,top
U16,170.25,-104.944,0.0,top
U2,149.1362,-93.816,0.0,top
U4,164.846,-57.15,180.0,top
U5,209.732,-50.0,180.0,top
U6,132.8193,-57.2397,180.0,top
U7,132.8193,-77.2422,180.0,top
U8,212.344,-108.207,180.0,top
U9,185.044,-110.03,90.0,top
